"Susunan Kurikulum 2022 adalah sebagaimana nampak di
Tabel 2.2. berikut ini:
Tabel 2.2. Struktur Kurikulum 2022 Prodi Doktor
(semester 1)",Susunan Kurikulum 2022 adalah sebagaimana nampak di,,
Tabel 2.2. berikut ini:,,,
(semester 1),,,
No,Kegiatan,SKS,Keterangan
1,Mata Kuliah Wajib,3,
KBK,Lulusan Magister tidak,,
2,"Mata Kuliah
Pilihan 1",3,sebidang diwajibkan
mengambil seluruh 5 mata,,,
3,Mata Kuliah,3,kuliah (14 SKS).
Buku Panduan Akademik 2024 Program Doktor |,42,,
Pilihan 2,Lulusan Magister sebidang,,
4,Filsafat Keilmuan,1,tidak wajib meng-ambil mata
5,"Pengantar Teknik
Mesin",4,kuliah Pengantar Teknik
Mesin.,,,
Beban Total,"10 atau
14",Mahasiswa DbR hanya,
mengambil 3 mata kuliah (7,,,
SKS),,,
