No,Mata Kuliah Wajib,Kode,SKS
1,"Metode Eksperimental Teknik
(Engineering Experimental Methods)",TKM 2561001,3
2,"Metode Analisis Teknik dan
Pemodelan Sistem (Engineering
Analysis Methods and System
Modelling)",TKM 2561002,2
3,"Metode Numerik Lanjut (Advanced
Numerical Methods)",TKM 2561003,2
4,"Analisis Sistem Energi (Energy System
Analysis)",TKM 2561004,2
5,"Perancangan dan Manufaktur
Keteknikan (Engineering Design and
Manufacture)",TKM 2561005,2
6,"Material Teknik Lanjut (Advanced
Engineering Materials)",TKM 2561006,2
7,"Etika dan Teknik Penulisan Ilmiah
(Ethics and Academic Writing)*",TK 25XXXX,2
8,"Kolaborasi dan Jejaring (Collaboration
and Networking)*",TK 2562007,2
9,"Mata Kuliah Wajib KBK (Track
Compulsory Course)*",TKM 2562008,2
TOTAL SKS MKW,19,,
