No.,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Mekanika Terapan,TKM2143MT01,"Alat Berat / Heavy
Equipment",3
1.,Mekanika Terapan,TKM2143MT02,"Bejana Tekan /
Pressure Vessel",3
1.,Mekanika Terapan,TKM2143MT03,"Elastisitas /
Elasticity",3
1.,Mekanika Terapan,TKM2143MT04,"Getaran dan Akustik
/ Vibration and
Accoustic",3
1.,Mekanika Terapan,TKM2143MT05,"Kendaraan Rel /
Railway Vehicles",3
1.,Mekanika Terapan,TKM2143MT06,"Pesawat Pengangkat
dan Pengangkut /
Material Handling
Equipment",3
1.,Mekanika Terapan,TKM2143MT07,"Teknik Kendaraan
/Vehicle Engineering",3
1.,Mekanika Terapan,TKM2143MT08,"Sistem Perpipaan /
Piping System",3
2.,Teknologi Bahan,TKM2143TB01,"Analisis Kegagalan /
Failure Analysis",3
2.,Teknologi Bahan,TKM2143TB02,"Komposit, Polimer
dan Keramik /
Composites Polymer,
and Ceramics",3
2.,Teknologi Bahan,TKM2143TB03,"Pemilihan Bahan
dalam Perancangan
/ Material Selection
in Design",3
2.,Teknologi Bahan,TKM2143TB04,"Perpatahan dan
Kelelahan / Fracture
and Fatigue",3
2.,Teknologi Bahan,TKM2143TB05,"Rekayasa Permukaan
/
Surface Engineering",3
2.,Teknologi Bahan,TKM2143TB06,"Teknik Biomaterial /
Biomaterial
Engineering",3
2.,Teknologi Bahan,TKM2143TB07,Teknik Pengecoran / Casting Engineering,3
2.,Teknologi Bahan,TKM2143TB08,"Teknik Pengelasan /
Welding Engineering",3
3.,Konversi Energi,TKM2143KE01,"Aerodinamika dan
Propulsi /
Aerodynamics and
Propulsion",3
3.,Konversi Energi,TKM2143KE02,"Aliran dan
Perpindahan Kalor
Dua fasa / Two
Phase Flow and The
Heat Transfer",3
3.,Konversi Energi,TKM2143KE03,"Aliran Kompresibel
dan Unsteady /
Compressible and
Unsteady Flow",3
3.,Konversi Energi,TKM2143KE04,"Analisis Sistem
Termal dan Energi /
Thermal and Energy
System Analysis",3
3.,Konversi Energi,TKM2143KE05,"Generator Uap
/ Steam Boiler
Motor Bakar /
Combustion Engines",3
3.,Konversi Energi,TKM2143KE07,"Perpindahan
Kalor dalam Industri
/ Heat Transfer in
Industry",3
3.,Konversi Energi,TKM2143KE08,"Pollution and
Enviromental
Engineering",3
3.,Konversi Energi,TKM2143KE09,"Pompa dan
Kompresor / Pump
and Compressor",3
3.,Konversi Energi,TKM2143KE10,"Refrigerasi dan
Pengkondisian Udara
/ Refrigiration and
Air Conditioning",3
3.,Konversi Energi,TKM2143KE11,"Radiasi Termal
/ Thermal Radiation",3
3.,Konversi Energi,TKM2143KE12,"Teknik
Pembakaran /
Combustion
Engineering",3
3.,Konversi Energi,TKM2143KE13,"Turbin /
Turbine",3
4.,Manufaktur,TKM2143MF01,Additive Manufacturing,3
4.,Manufaktur,TKM2143MF02,"Kecerdasan
Buatan / Artificial
Intellegence",3
4.,Manufaktur,TKM2143MF03,"Metrologi
Industri dan Teknik
Kepresisian /
Industrial
Metrology and
Precision
Engineering",3
4.,Manufaktur,TKM2143MF04,"Otomasi
Industri /
Automation in
Industries",3
4.,Manufaktur,TKM2143MF05,"Pengendalian
Peralatan Industri /
Industrial Devices
Control System",3
4.,Manufaktur,TKM2143MF06,"Perancangan
Manufaktur dan
Assembly / Design
for Manufacture and
Assembly",3
4.,Manufaktur,TKM2143MF07,"Robotika /
Robotics",3
4.,Manufaktur,TKM2143MF08,"Tool
Engineering",3
