No,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Riset Operasi / Operations Research,TKI214820,Analisis Keputusan/ Decision Analysis,3
2.,Riset Operasi / Operations Research,TKI214821,Metaheuristik/Metaheuristics,3
3.,Riset Operasi / Operations Research,TKI214822,Kecerdasan Buatan/Artificial Intelligence,3
4.,Riset Operasi / Operations Research,TKI214823,"Pemodelan dan Simulasi Berbasis Agen/Agent-Based
Modeling and Simulation",3
5.,Riset Operasi / Operations Research,TKI214824,Dinamika Sistem/System Dynamics,3
6.,Riset Operasi / Operations Research,TKI214825,"Sistem Pendukung Keputusan/Decision Support
System",3
7.,Riset Operasi / Operations Research,TKI214826,Revenue Management,3
8.,Riset Operasi / Operations Research,TKI214827,Teknik Peramalan/Forecasting,3
9.,Riset Operasi / Operations Research,TKI214828,Data mining,3
10.,Riset Operasi / Operations Research,TKI214829,Analitika Data/Data Analytics,3
11.,Riset Operasi / Operations Research,"TKI214830
-
TKI214840","Topik mutakhir dalam bidang Riset Operasi/ Current
topics in Operation Research",3
