No,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Sistem Manufaktur / Manufacturing System,TKI214861,"Perancangan Untuk Manufaktur dan Assembly
/Design for Manufacture and Assembly",3
2.,Sistem Manufaktur / Manufacturing System,TKI214862,Metrologi Industri/Industrial Metrology,3
3.,Sistem Manufaktur / Manufacturing System,TKI214863,"Sistem Manufaktur Lanjut/Advanced Manufacturing
System",3
4.,Sistem Manufaktur / Manufacturing System,TKI214864,Computer Aided Design and Manufacture,3
5.,Sistem Manufaktur / Manufacturing System,TKI214865,"Optimasi Proses Manufaktur/Manufacturing Process
Optimization",3
6.,Sistem Manufaktur / Manufacturing System,TKI214866,"Desain untuk Peralatan Biomedis/ Design for
Biomedical Devices",3
7.,Sistem Manufaktur / Manufacturing System,TKI214867,"Manufaktur Berskala Mikro dan Nano/ Micro and
Nano-scale Manufacturing",3
8.,Sistem Manufaktur / Manufacturing System,TKI214868,"3D Printing dan Manufaktur Aditif/ 3D Printing and
Additive Manufacturing",3
9.,Sistem Manufaktur / Manufacturing System,TKI214869,"Desain Manufaktur Kolaboratif/ Collaborative
Manufakturing",3
10.,Sistem Manufaktur / Manufacturing System,"TKI214871
-
TKI214880","Topik mutakhir dalam bidang Sistem
Manufaktur/Current topics in Manufacturing System",3
