Nama Peminatan,KODE,NAMA MATA KULIAH,SKS
Pilihan KBK ENERGI,TKM 228101,"Perpindahan Kalor dan Massa
Lanjut",3
Pilihan KBK ENERGI,TKM 228102,Aliran Dua Fasa Lanjut,3
Pilihan KBK ENERGI,TKM 228103,Teori Instabilitas,3
Pilihan KBK ENERGI,TKM 228104,Aliran Mampat dan Lapis Batas,3
Pilihan KBK ENERGI,TKM 228105,Kinetika Reaksi Pembakaran,3
Pilihan KBK ENERGI,TKM 228106,Nanofluida,3
Pilihan KBK ENERGI,TKM 228107,Aerodinamika Lanjut,3
Pilihan KBK ENERGI,TKM 228108,Teknik Pembakaran Lanjut,3
Pilihan KBK ENERGI,TKM 228109,Ekonomi dan Modeling Energi,3
Pilihan KBK ENERGI,TKM 228110,"Teori Pendidihan dan
Pengembunan",3
Pilihan KBK ENERGI,TKM 228111,Penyimpanan Energi,3
Pilihan KBK ENERGI,TKM 228112,Radiasi Termal,3
Pilihan KBK ENERGI,TKM 228113,Gasifikasi dan Pirolisis,3
Pilihan KBK ENERGI,TKM 228114,"Pengendalian Pencemaran
Lingkungan",3
Pilihan KBK ENERGI,TKM 228115,Termoakustik,3
Pilihan KBK ENERGI,TKM 228116,Pendingin dan Pemanas Lanjut,3
Pilihan KBK ENERGI,TKM 228117,Sintesis Bahan Bakar,3
Pilihan KBK ENERGI,TKM 228118,"Recent Progress in Energy
Engineering",3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228119,Teknik Pembekuan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228120,Keramik Teknik Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228121,Polimer Teknik,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228122,Komposit Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228123,Teknologi Serat Alami,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228124,Mekanika Material Mutakhir,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228125,Teknologi Pengecoran Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228126,Teknik Korosi Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228127,Perpatahan dan Kelelahan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228128,Bahan Magnet,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228129,"Pengujian dan Karakterisasi
Material Lanjut",3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228130,Metalurgi Serbuk Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228131,Teknologi Pengelasan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228132,Perlakuan Permukaan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228133,Teknik Biomaterial Mutakhir,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228134,Teknologi Nanomaterial,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228135,Biokompatibilitas,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228136,Biomaterial dan Karakterisasi,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228137,"Recent Progress in Materials
Engineering",3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228138,Smart Manufacturing,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR",TKM 228139,Advanced Additive Manufacturing,3
Buku Panduan Akademik 2024 Program Doktor |,31,,
TERINTEGRASI,,,
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228140,Non-conventional Machining,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228141,Nano Manufacturing,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228142,Light-weight Structure,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228143,"Advanced Topics in Applied
Mechanics",3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228144,Noise and Vibration Analysis,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228145,Tribologi Lanjut,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228146,Biomekanika dan Mekanika Implan,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228147,Fisiologi Implan,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228148,"Recent Progress in Biomedical
Engineering",3
Pendukung Riset,TKM 228149,Pengukuran dan Akuisisi Data,3
Wajib,TKM 228250,Metodologi Penelitian,2
Wajib,TKM 228151,Filsafat Keilmuan,1
Wajib KBK Energi,TKM 228152,Termofluida Lanjut,3
Wajib KBK Bahan,TKM 228153,Material Teknik Mutakhir,3
Wajib KBK DMMT,TKM 228154,Recent Progress in Manufacturing,3
Tambahan,"TKM
228155",Pengantar Teknik Mesin,4
