Nama Peminatan,KODE,NAMA MATA KULIAH,SKS
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228138,Smart Manufacturing,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228140,Non-conventional Machining,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228141,Nano Manufacturing,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228142,Light-weight Structure,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228143,"Advanced Topics in Applied
Mechanics",3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228144,Noise and Vibration Analysis,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228145,Tribologi Lanjut,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228146,Biomekanika dan Mekanika Implan,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228147,Fisiologi Implan,3
"Pilihan KBK
DESAIN, MEKANIKA
DAN MANUFAKTUR
TERINTEGRASI",TKM 228148,"Recent Progress in Biomedical
Engineering",3
