Nama Peminatan,KODE,NAMA MATA KULIAH,SKS
Pilihan KBK ENERGI,TKM 228101,"Perpindahan Kalor dan Massa
Lanjut",3
Pilihan KBK ENERGI,TKM 228102,Aliran Dua Fasa Lanjut,3
Pilihan KBK ENERGI,TKM 228103,Teori Instabilitas,3
Pilihan KBK ENERGI,TKM 228104,Aliran Mampat dan Lapis Batas,3
Pilihan KBK ENERGI,TKM 228105,Kinetika Reaksi Pembakaran,3
Pilihan KBK ENERGI,TKM 228106,Nanofluida,3
Pilihan KBK ENERGI,TKM 228107,Aerodinamika Lanjut,3
Pilihan KBK ENERGI,TKM 228108,Teknik Pembakaran Lanjut,3
Pilihan KBK ENERGI,TKM 228109,Ekonomi dan Modeling Energi,3
Pilihan KBK ENERGI,TKM 228110,"Teori Pendidihan dan
Pengembunan",3
Pilihan KBK ENERGI,TKM 228111,Penyimpanan Energi,3
Pilihan KBK ENERGI,TKM 228112,Radiasi Termal,3
Pilihan KBK ENERGI,TKM 228113,Gasifikasi dan Pirolisis,3
Pilihan KBK ENERGI,TKM 228114,"Pengendalian Pencemaran
Lingkungan",3
Pilihan KBK ENERGI,TKM 228115,Termoakustik,3
Pilihan KBK ENERGI,TKM 228116,Pendingin dan Pemanas Lanjut,3
Pilihan KBK ENERGI,TKM 228117,Sintesis Bahan Bakar,3
Pilihan KBK ENERGI,TKM 228118,"Recent Progress in Energy
Engineering",3
