Nama Peminatan,KODE,NAMA MATA KULIAH,SKS
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228119,Teknik Pembekuan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228120,Keramik Teknik Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228121,Polimer Teknik,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228122,Komposit Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228123,Teknologi Serat Alami,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228124,Mekanika Material Mutakhir,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228125,Teknologi Pengecoran Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228126,Teknik Korosi Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228127,Perpatahan dan Kelelahan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228128,Bahan Magnet,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228129,"Pengujian dan Karakterisasi
Material Lanjut",3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228130,Metalurgi Serbuk Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228131,Teknologi Pengelasan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228132,Perlakuan Permukaan Lanjut,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228133,Teknik Biomaterial Mutakhir,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228134,Teknologi Nanomaterial,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228135,Biokompatibilitas,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228136,Biomaterial dan Karakterisasi,3
"Pilihan KBK
TEKNOLOGI BAHAN",TKM 228137,"Recent Progress in Materials
Engineering",3
