No,Kegiatan,S,KS,Keterangan,
1,1,Mata Kuliah Wajib,3,3,
KBK,Lulusan Magister tidak sebidang,,,,
2,Mata Kuliah Pilihan 1,3,diwajibkan mengambil seluruh 5,,
3,Mata Kuliah Pilihan 2,3,mata kuliah (14 SKS).,,
4,Filsafat Keilmuan,1,Lulusan Magister sebidang tidak,,
5,5,Pengantar Teknik,4,4,wajib meng-ambil mata kuliah
Mesin,Pengantar Teknik Mesin.,,,,
Beban Total,Beban Total,"10 atau
14",Mahasiswa DbR hanya mengambil,,
3 mata kuliah (7 SKS),,,,,
Beban Total,6,"Penelitian merupakan prasarat
untuk Ujian Komprehensif.",Penelitian merupakan prasarat,,
untuk Ujian Komprehensif.,,,,,
