Nama Peminatan,No,"Kode
Usulan",Mata Kuliah,SKS
Umum,1,TKI25 8103,"Kapita Selekta Teknik Industri
I**)",2
Umum,2,TKI25 8104,"Kapita Selekta Teknik Industri
II**)",2
Umum,3,TKI25 8105,"Statistika Teknik Lanjut
(Advanced Engineering
Statistics)",3
Umum,4,TKI25 8106,"Pemrograman Komputer
Lanjut
(Advanced Computer
Programming)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",1,TKI25 8111,"Alat dan Metode dalam
Ergonomika (Tools and
Methods in Ergonomics)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",2,TKI25 8112,"Ergonomika Kognitif Lanjut
untuk Perancangan Sistem
(Advanced Cognitive
Ergonomics for Systems
Design)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",3,TKI25 8113,"Keandalan Manusia (Human
Reliability Engineering)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",4,TKI25 8114,"Ergonomika Fisik Lanjut
(Advanced Cognitive Physical
Ergonomics)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",5,TKI25 8115,"Topik Terkini di Bidang
Ergonomika (Current Topics in
Ergonomics)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",6,TKI25 8116,"Alat dan Metode dalam
Manajemen Rekayasa (Tools
and Methods in Engineering
Management)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",7,TKI25 8117,"Manajemen Inovasi dan
Pengetahuan (Innovation and
Knowledgment Management)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",8,TKI25 8118,"Manajemen Proyek dengan
Pendekatan Sistem (System
Approach in Project
Management)",3
"Ergonomika dan
Manajemen
Teknik (Human Factors
and Engineering
Management)",9,TKI25 8119,"Topik Terkini di Bidang
Manajemen Rekayasa
(Current Topics in Engineering
Management)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",1,TKI25 8131,Sains Data (Data Science),3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",2,TKI25 8132,"Kecerdasan Buatan (Artificial
Intelligence)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",3,TKI25 8133,"Pemodelan Sistem Kompleks
dan Simulasi (Complex System
Modeling and Simulation)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",4,TKI25 8134e,ering for Sustainability,3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",5,TKI25 8135,"Ekonomi Energi dan Kebijakan
(Energy Economics and Policy)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",6,TKI25 8136,"Analisis Keputusan Lanjut
(Advanced Decision Analysis)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and",7,TKI25 8137,"Riset Operasi Lanjut
(Advanced Operations
Research)",3
Operations Research),,,,
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",8,TKI25 8138,"Perancangan dan Analisis
Sistem Rantai Pasok (Supply
Chain Design and Analysis)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",9,TKI25 8139,"Topik Terkini di Bidang Teknik
Rantai Pasok (Current Topics
in Supply Chain Engineering)",3
"Teknik Rantai Pasok dan
Riset Operasi (Supply
Chain Engineering and
Operations Research)",10,TKI25 8140,"Topik Terkini di Bidang Riset
Operasi (Current Topics in
Operations Research)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",1,TKI25 8151,"Concurrent Product and
Process Design",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",2,TKI25 8152,"Rekayasa Keandalan Sistem
(System Reliabity Engineering)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",3,TKI25 8153,"Additive Manufacturing and
Systems",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",4,TKI25 8154,"Otomasi Industri (Industrial
Automation)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",5,TKI25 8155,"Proses Manufaktur Lanjut
(Advanced Manufacturing
Processes)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",6,TKI25 8156,"Sistem Produksi Maju
(Advanced Production
Systems)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",7,TKI25 8157,"Pemilihan Bahan dan Proses
(Material Selection and
Processes)",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",8,TKI25 8158,"Current topics in Product
Design and Development",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",9,TKI25 8159,"Current topics in Quality and
Reliability Engineering",3
"Sistem Produksi dan
Manufaktur (Production
and Manufacturing
System)",10,TKI25 8160,"Current topics in
Manufacturing Systems and
Processes",3
