No,Kegiatan,SKS,Keterangan
1,Publikasi 2,3,Diperbolehkan untuk
"2 Seminar Hasil 2 menyampaikan materi
Penelitian 2 Publikasi 2 pada Seminar
3 Penelitian dan 1 Hasil Penelitian 2.
Penulisan
Beban Total 6
Tabel 2.6. Struktur Kurikulum 2022 Prodi Doktor
(Semester 5)
No Kegiatan SKS Keterangan
1 Publikasi 3 3 Jumlah publikasi minimal
2 Naskah Awal 4 adalah 3 (tiga).
Disertasi Mahasiswa mulai menulis
3 Penelitian dan 1 naskah disertasi.
Penulisan
Beban Total 8
Tabel 2.7. Struktur Kurikulum 2022 Prodi Doktor
(Semester 6)
No Kegiatan SKS Keterangan
1 Ujian Tertutup 5 Kinerja mahasiswa selama
2 Naskah Akhir 4 melakukan penelitian dan
Disertasi penulisan disertasi
3 Penelitian dan 1 memperoleh bobot penilaian
Penulisan setara 4 SKS (selama 4
Beban Total 10 semester terakhir).",,,
(Semester 6),,,
No,Kegiatan,SKS,Keterangan
1,Ujian Tertutup,5,Kinerja mahasiswa selama
2,"Naskah Akhir
Disertasi",4,melakukan penelitian dan
penulisan disertasi,,,
3,"Penelitian dan
Penulisan",1,memperoleh bobot penilaian
setara 4 SKS (selama 4,,,
Beban Total,10,semester terakhir),.
2,Seminar Hasil,2,"menyampaikan materi
Publikasi 2 pada Seminar
Hasil Penelitian 2.",menyampaikan materi
Penelitian 2,Publikasi 2 pada Seminar,,,
3,Penelitian dan,1,Hasil Penelitian 2.,
Penulisan,,,,
Beban Total,6,,,
