No,Nama Peminatan,Mata Kuliah,Kode,SKS
1,"KBK Material Teknik
(Engineering
Materials)","Teknologi Pengelasan Lanjut
(Advanced Welding Technology)",TKM2572202,3
2,"KBK Material Teknik
(Engineering
Materials)","Teknik Korosi dan
Pengendaliannya (Corrosion
Engineering and Prevention)",TKM2572203,3
3,"KBK Material Teknik
(Engineering
Materials)","Komposit Lanjut (Advanced
Composites)",TKM2572204,3
4,"KBK Material Teknik
(Engineering
Materials)","Perpatahan dan Kelelahan
(Fracture and Fatigue)",TKM2572205,3
5,"KBK Material Teknik
(Engineering
Materials)","Biomaterial Lanjut (Advanced
Biomaterials)",TKM2572206,3
6,"KBK Material Teknik
(Engineering
Materials)","Analisis Kegagalan (Failure
Analysis)",TKM2572207,3
7,"KBK Material Teknik
(Engineering
Materials)","Keramik Teknik (Engineering
Ceramics)",TKM2572208,3
8,"KBK Material Teknik
(Engineering
Materials)","Perlakuan Permukaan dan
Teknologi Pelapisan (Surface
Treatments and Coating
Technology)",TKM2572209,3
9,"KBK Material Teknik
(Engineering
Materials)","Metalurgi Serbuk (Powder
Metallurgy)",TKM2572210,3
11,"KBK Material Teknik
(Engineering
Materials)","Teknologi Pengecoran (Casting
Technology)",TKM2572212,3
12,"KBK Material Teknik
(Engineering
Materials)","Perkembangan Terkini di Teknik
Material (Recent Progress in
Engineering Materials)",TKM2572213,3
