No.,Mata Kuliah,SKS,"Student Outcomes
(SO)"
1,"Teknologi Pengelasan Lanjut (Advanced Welding
Technology)",3,"A1, A3, B3"
2,"Teknik Korosi dan Pengendaliannya (Corrosion
Engineering and Prevention)",3,"A1, A3, B3"
3,Komposit Lanjut (Advanced Composites),3,"A1, A3, B3"
4,Perpatahan dan Kelelahan (Fracture and Fatigue),3,"A1, A3, B3"
5,Biomaterial Lanjut (Advanced Biomaterials),3,"A1, A3, B3"
6,Analisis Kegagalan (Failure Analysis),3,"A1, A3, B3"
7,Keramik Teknik (Engineering Ceramics),3,"A1, A3, B3"
8,"Perlakuan Permukaan dan Teknologi Pelapisan
(Surface Treatments and Coating Technology)",3,"A1, A3, B3"
9,Metalurgi Serbuk (Powder Metallurgy),3,"A1, A3, B3"
10,Polimer Teknik (Engineering Polymers),3,"A1, A3, B3"
11,Teknologi Pengecoran (Casting Technology),3,"A1, A3, B3"
12,"Perkembangan Terkini di Teknik Material (Recent
Progress in Engineering Materials)",3,"A1, A3, B3, C1"
