"N
o.",Keterangan,Nomor Telpon
Nomor Telepon Darurat,,
1.,Darurat/Emergency call,112
2.,Pemadam Kebakaran DIY,113
3.,SAR DIY,115
Kepolisian,,
1.,Polda DIY,(0274) 563494
2.,Polresta Jogja,(0274) 512 940
3.,Polres Sleman,(0274) 868410
4.,Polres Bantul,(0274) 367410
5.,Polres Gunungkidul,(0274) 91110
6.,Polres Kulonprogo,(0274) 93110
7.,Unit Laka Lantas,(0274) 513237
Rumah Sakit,,
1.,RSUP DR. Sardjito,(0274) 587333
2.,RS. PKU Muhammadiyah,(0274) 512653
3.,RS. Panti Rapih,(0274) 563333
4.,RS. Bethesda,(0274) 586688
Fasilitas Transportasi,,
1.,Stasiun Tugu,"(0274) 514270,
512870"
2.,Stasiun Lempuyangan,(0274) 512454
3.,Terminal Giwangan,(0274) 377834
