No.,Nama Peminatan,Kode,Mata Kuliah,SKS
3.,Konversi Energi,TKM2143KE01,"Aerodinamika dan
Propulsi /
Aerodynamics and
Propulsion",3
3.,Konversi Energi,TKM2143KE02,"Aliran dan
Perpindahan Kalor
Dua fasa / Two Phase
Flow and The Heat
Transfer",3
3.,Konversi Energi,TKM2143KE03,"Aliran Kompresibel
dan Unsteady /
Compressible and
Unsteady Flow",3
3.,Konversi Energi,TKM2143KE04,"Analisis Sistem
Termal dan Energi /
Thermal and Energy
System Analysis",3
3.,Konversi Energi,TKM2143KE05,"Generator Uap /
Steam Boiler
Motor Bakar /
Combustion Engines",3
3.,Konversi Energi,TKM2143KE07,"Perpindahan
Kalor dalam Industri /
Heat Transfer in
Industry",3
3.,Konversi Energi,TKM2143KE08,"Pollution and
Enviromental
Engineering",3
3.,Konversi Energi,TKM2143KE09,"Pompa dan
Kompresor / Pump
and Compressor",3
3.,Konversi Energi,TKM2143KE10,"Refrigerasi dan
Pengkondisian Udara
/ Refrigiration and Air
Conditioning",3
3.,Konversi Energi,TKM2143KE11,"Radiasi Termal /
Thermal Radiation",3
3.,Konversi Energi,TKM2143KE12,"Teknik
Pembakaran /
Combustion
Engineering",3
3.,Konversi Energi,TKM2143KE13,Turbin / Turbine,3
