NO,KODE,MATA KULIAH,SKS,KETERANGAN
TKI212109,"Riset Operasi 2 / Operations Research
2",3,,
TKI212904,"Praktikum Ergonomika / Ergonomics
Lab Work",1,Lab. Ergonomika,
TKI212702,"Perancangan dan Pengukuran Kerja /
Work Design and Measurement",3,,
TKI212605,"Proses Manufaktur 2 / Manufacturing
Processes 2",2,,
TKI212905,"Praktikum Proses Produksi /
Production Processes Lab Work",1,"Lab. Proses dan
Sistem Produksi",
TKI212604,"Perencanaan Produksi &
Pengendalian Persediaan / Production
Planning and Inventory Control",3,,
UNU22200X,Agama/Religion,2,"Dilaksanakan
secara terpusat
di universitas",
UNU222011,Pancasila,2,,
UNU222012,Kewarganegaraan / Citizenship,2,,
UNU222013,Bahasa Indonesia /Indonesian,2,,
Jumlah = 10 mata kuliah dengan total 21 SKS,,,,
