No,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Teknik Produksi / Production Engineering,TKI214801,Rekayasa Keandalan/ Reliability Engineering,3
2.,Teknik Produksi / Production Engineering,TKI214802,"Sistem Manajemen Perawatan/ Maintenance
Management System",3
3.,Teknik Produksi / Production Engineering,TKI214803,Statistika Multivariat/ Multivariate Statistics,3
4.,Teknik Produksi / Production Engineering,TKI214804,"Rantai Pasok pada bidang Kemanusiaan dan
Kesehatan / Humanitarian and Healthcare Supply
Chain",3
5.,Teknik Produksi / Production Engineering,TKI214805,"Keputusan dan Kebijakan Energi / Energy Decisions
and Policies",3
6.,Teknik Produksi / Production Engineering,TKI214806,"Manajemen Teknologi dan Inovasi/ Technology &
Innovation Management",3
7.,Teknik Produksi / Production Engineering,TKI214807,Manajemen Strategi/Strategic Management,3
8.,Teknik Produksi / Production Engineering,TKI214808,Engineering Professional Development,3
9.,Teknik Produksi / Production Engineering,TKI214809,Ekologi Industri / Industrial Ecology,3
10.,Teknik Produksi / Production Engineering,"TKI214810
-
TKI214819","Topik mutakhir dalam bidang Teknik Produksi/
Current topics in Production Engineering",3
1.,Riset Operasi / Operations Research,TKI214820,Analisis Keputusan/ Decision Analysis,3
2.,Riset Operasi / Operations Research,TKI214821,Metaheuristik/Metaheuristics,3
3.,Riset Operasi / Operations Research,TKI214822,Kecerdasan Buatan/Artificial Intelligence,3
4.,Riset Operasi / Operations Research,TKI214823,"Pemodelan dan Simulasi Berbasis Agen/Agent-Based
Modeling and Simulation",3
5.,Riset Operasi / Operations Research,TKI214824,Dinamika Sistem/System Dynamics,3
6.,Riset Operasi / Operations Research,TKI214825,"Sistem Pendukung Keputusan/Decision Support
System",3
7.,Riset Operasi / Operations Research,TKI214826,Revenue Management,3
8.,Riset Operasi / Operations Research,TKI214827,Teknik Peramalan/Forecasting,3
9.,Riset Operasi / Operations Research,TKI214828,Data mining,3
10.,Riset Operasi / Operations Research,TKI214829,Analitika Data/Data Analytics,3
11.,Riset Operasi / Operations Research,"TKI214830
-
TKI214840","Topik mutakhir dalam bidang Riset Operasi/ Current
topics in Operation Research",3
1.,Ergonomika / Ergonomics,TKI214841,Ergonomika Lingkungan/ Environment Ergonomics,3
2.,Ergonomika / Ergonomics,TKI214842,Keandalan Manusia/Human Reliability,3
3.,Ergonomika / Ergonomics,TKI214843,Rekayasa Kansei dalam Perancangan/Kansei,3
4.,Engineering in Design,TKI214844,Rekayasa Kognitif /Cognitive Engineering,3
5.,Engineering in Design,TKI214845,Ergonomics Design for All Ages and Abilities,3
6.,Engineering in Design,TKI214846,Consumer neuroscience,3
7.,Engineering in Design,TKI214847,"Pengalaman Pengguna dan Usabilitas / UX and
Usability",3
8.,Engineering in Design,TKI214848,Asesmen Ergonomika/ Ergonomics Assessment,3
9.,Engineering in Design,TKI214849,Bio-instrumentasi/ Bio instrumentation,3
10.,Engineering in Design,"TKI214850
-
TKI214860","Topik mutakhir dalam bidang Ergonomi/
Current Topics in Ergonomics",3
1.,Sistem Manufaktur / Manufacturing System,TKI214861,"Perancangan Untuk Manufaktur dan Assembly
/Design for Manufacture and Assembly",3
2.,Sistem Manufaktur / Manufacturing System,TKI214862,Metrologi Industri/Industrial Metrology,3
3.,Sistem Manufaktur / Manufacturing System,TKI214863,"Sistem Manufaktur Lanjut/Advanced Manufacturing
System",3
4.,Sistem Manufaktur / Manufacturing System,TKI214864,Computer Aided Design and Manufacture,3
5.,Sistem Manufaktur / Manufacturing System,TKI214865,"Optimasi Proses Manufaktur/Manufacturing Process
Optimization",3
6.,Sistem Manufaktur / Manufacturing System,TKI214866,"Desain untuk Peralatan Biomedis/ Design for
Biomedical Devices",3
7.,Sistem Manufaktur / Manufacturing System,TKI214867,"Manufaktur Berskala Mikro dan Nano/ Micro and
Nano-scale Manufacturing",3
8.,Sistem Manufaktur / Manufacturing System,TKI214868,"3D Printing dan Manufaktur Aditif/ 3D Printing and
Additive Manufacturing",3
9.,Sistem Manufaktur / Manufacturing System,TKI214869,"Desain Manufaktur Kolaboratif/ Collaborative
Manufakturing",3
10.,Sistem Manufaktur / Manufacturing System,"TKI214871
-
TKI214880","Topik mutakhir dalam bidang Sistem
Manufaktur/Current topics in Manufacturing System",3
1.,Mata Kuliah Pilihan Umum,TKI214881,Kapita Selekta bidang Humaniora dan Seni,3
2.,Mata Kuliah Pilihan Umum,TKI214882,Kapita Selekta bidang Ilmu sosial,3
3.,Mata Kuliah Pilihan Umum,TKI214883,Kapita Selekta bidang Matematika dan Teknik,3
