No,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Ergonomika / Ergonomics,TKI214841,Ergonomika Lingkungan/ Environment Ergonomics,3
2.,Ergonomika / Ergonomics,TKI214842,Keandalan Manusia/Human Reliability,3
3.,Ergonomika / Ergonomics,TKI214843,"Rekayasa Kansei dalam Perancangan/Kansei
Engineering in Design",3
4.,Ergonomika / Ergonomics,TKI214844,Rekayasa Kognitif /Cognitive Engineering,3
5.,Ergonomika / Ergonomics,TKI214845,Ergonomics Design for All Ages and Abilities,3
6.,Ergonomika / Ergonomics,TKI214846,Consumer neuroscience,3
7.,Ergonomika / Ergonomics,TKI214847,"Pengalaman Pengguna dan Usabilitas / UX and
Usability",3
8.,Ergonomika / Ergonomics,TKI214848,Asesmen Ergonomika/ Ergonomics Assessment,3
9.,Ergonomika / Ergonomics,TKI214849,Bio-instrumentasi/ Bio instrumentation,3
10.,Ergonomika / Ergonomics,"TKI214850
-
TKI214860","Topik mutakhir dalam bidang Ergonomi/
Current Topics in Ergonomics",3
